Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2022-05-04,62388.79296875,62848.209706369664,62021.25957865427,62480.67631627394,11505248
2022-05-06,61102.4375,61653.73768796992,61102.4375,61561.85432330827,14356156
2022-05-10,60367.3671875,60918.66734446347,59999.833749524354,60551.13390648783,17235605
2022-05-11,60367.3671875,60918.66734446347,59907.95039003044,60183.60046851217,12330920
2022-05-12,59632.296875,60183.5970001926,59632.296875,59907.9469375963,16414188
2022-05-13,61102.4375,61286.2042293233,59907.95375939849,59999.83712406015,14551536
2022-05-16,60918.6640625,61929.38096248115,60734.89735341252,61653.73089884992,11937555
2022-05-17,62113.14453125,62388.794580944894,61194.31103226701,61194.31103226701,15680447
2022-05-18,62572.57421875,63123.87443213106,62113.157374265786,62756.34095654368,16486319
2022-05-19,62021.26171875,62113.14506944444,61102.428211805556,61102.428211805556,17073727
2022-05-20,62480.6796875,62848.213097426466,62205.02963005514,62296.91298253676,12109671
2022-05-23,62388.79296875,63215.74309646539,62113.1429261782,63215.74309646539,13684088
2022-05-24,61102.4375,62205.037875939845,61102.4375,62021.27114661654,15482576
2022-05-25,61010.5390625,61653.722456231175,60551.12235269202,61286.18908838479,15150490
2022-05-26,60551.125,61745.60849772383,60183.59161608498,60918.658383915026,15970890
2022-05-27,61102.4375,61469.97095864661,60826.787406015035,61286.2042293233,11405555
2022-05-30,62205.03125,62296.914604874444,61469.96441100443,62021.26454025111,14255484
2022-05-31,61929.37890625,62021.26225774296,61286.195445799334,62021.26225774296,24365002
2022-06-02,61286.19140625,61561.84144255997,61010.54136994003,61194.308060813346,14959443
2022-06-03,61378.08203125,61837.49881292103,61378.08203125,61745.61545658683,8222883
2022-06-07,60183.59375,61010.54389312977,60091.71040076336,60826.77719465649,19355755
2022-06-08,59999.8359375,60367.36938887826,59999.8359375,60091.719300344565,12483180
2022-06-09,59907.953125,59907.953125,59264.76957917945,59816.06976131135,25790725
2022-06-10,58621.58203125,59172.88217574452,58621.58203125,58805.34874608151,22193552
2022-06-13,57059.5703125,57702.75387479871,57059.5703125,57335.22041062802,22157816
2022-06-14,56875.79296875,57151.443015448305,56140.72617755452,56232.609526453954,24606419
2022-06-15,55773.19140625,56508.25817931425,55313.774673084845,56324.49148604819,26811224
2022-06-16,55956.96875,56783.919027093594,55589.435293513954,56324.50220648604,23394895
2022-06-17,54946.25,55038.13336120402,54578.71655518395,54578.71655518395,29053450
2022-06-20,53935.53125,55038.13154812606,53384.231100936966,54946.24818994889,34111306
2022-06-21,53751.75390625,54394.937286324785,53476.10388621795,53935.52058627136,25148109
2022-06-22,52924.80859375,54303.05881754558,52924.80859375,54211.17546929254,23334687
2022-06-23,52741.0390625,53292.33912238676,52189.73900261324,53016.68909244338,28338608
2022-06-24,53659.875,54303.05843321918,53016.69156678082,53200.4582619863,23256103
2022-06-27,54027.4140625,55038.13099224064,53567.997276254246,54211.1807769983,18122236
2022-06-28,54578.70703125,54670.590376420456,53935.523615056816,54394.94034090909,13540538
2022-06-29,53618.20703125,54357.76850754311,53618.20703125,54080.432953933196,14677138
2022-06-30,52693.7578125,53248.42894736842,52693.7578125,52878.64819078947,18915142
2022-07-01,51954.19921875,53155.986745162365,51676.86363573176,52601.31557912588,24982097
2022-07-04,52786.1953125,53063.5308395359,51491.962852999124,51861.743555713656,17807126
2022-07-05,52878.65234375,53803.10430780157,52878.65234375,53248.43312937063,14216539
2022-07-06,52139.0859375,52971.09262799202,52139.0859375,52971.09262799202,16820461
2022-07-07,53803.09765625,54265.323581131874,52046.639141698884,52139.084326675256,21322833
2022-07-08,54265.328125,54819.99928130324,53803.102161413975,54172.882932282795,15339271
2022-07-11,54357.7734375,55097.334980867345,54265.328244579076,54819.999402104586,13042624
2022-07-12,53710.65234375,54265.323452291304,53710.65234375,54172.87826753442,9336061
2022-07-13,53618.20703125,54172.87813846983,53618.20703125,53895.54258485992,10841315
2022-07-14,53155.98828125,53803.104660326084,53063.54308423913,53155.98828125,15067012
2022-07-15,55467.1171875,55467.1171875,53710.658476562494,53987.994062499994,18685583
2022-07-18,57223.56640625,57316.01158622779,55929.333886560984,56021.77906653877,20832517
2022-07-19,56299.125,56853.79618226601,55652.00862068965,56761.350985221674,15248261
2022-07-20,55929.33984375,57408.46288094008,55929.33984375,57131.127311466946,16782238
2022-07-21,57131.12890625,57223.574098654935,56114.23178979571,56484.01255941545,12291374
2022-07-22,56668.90625,57500.91303017944,56576.461052202285,57131.13223898858,10261310
2022-07-25,56484.00390625,57223.56533219108,56206.6683715221,56299.113549764734,9193681
2022-07-26,57038.671875,57223.56222143436,56206.66531604538,56206.66531604538,6597211
2022-07-27,57131.12890625,57223.574098654935,56576.45775182039,56668.90294422532,7320997
2022-07-28,57223.56640625,57870.68266609451,56946.23086631664,57593.34712616115,10745302
2022-07-29,56761.3515625,57870.69393831433,56668.90636451547,57685.803542345275,15093120
2022-08-01,56668.90625,57038.68704119087,55744.45427202284,56391.570656606855,13154816
2022-08-02,57038.671875,57223.56222143436,56391.55566247974,56576.4460089141,13614895
2022-08-03,56668.90625,56946.241843393145,56391.570656606855,56946.241843393145,10053861
2022-08-04,56853.78515625,57131.120693597564,56576.44961890244,57038.67551448171,9125439
2022-08-05,56853.78515625,57223.565872713414,56576.44961890244,57038.67551448171,9567620
2022-08-08,56206.66796875,56761.33903423109,56021.77761358964,56761.33903423109,11313150
2022-08-09,55467.1171875,56114.2335546875,55097.33640625,56021.788359374994,18251170
2022-08-10,54635.09765625,54727.54282994924,54172.87178775381,54450.207308851524,18084349
2022-08-11,55374.6640625,55467.10924457429,54819.992970054256,55097.32851627713,15141941
2022-08-12,55652.00390625,56114.2298523152,54912.44239254568,55004.887581758725,10786658
2022-08-16,56391.5703125,56946.24149590164,55744.45393186475,55929.344326331964,15036727
2022-08-17,55836.89453125,56576.4560482202,55744.44934162873,56484.01085859892,9061518
2022-08-18,56853.78515625,57223.565872713414,55467.10746951219,55744.44300685976,16372754
2022-08-19,56299.125,56946.24137931034,56021.78940886699,56761.350985221674,6923679
2022-08-22,55467.1171875,55836.897968749996,55282.226796874995,55744.45277343749,8259865
2022-08-23,54635.09765625,55097.32352474619,54542.652482550766,54542.652482550766,9041629
2022-08-24,54542.6640625,55004.89002913136,54542.6640625,54727.55444915254,8888486
2022-08-25,55189.78125,55189.78125,54542.664886934675,54727.555276381914,5767902
2022-08-26,55467.1171875,56299.123945312494,55374.6719921875,55744.45277343749,9499995
2022-08-29,54172.8828125,54450.2183900384,54172.8828125,54265.3280050128,9841329
2022-08-30,54357.7734375,54542.663823341834,53895.54747289541,54265.328244579076,9690044
2022-08-31,55189.78125,55374.67163944724,53803.103329145735,53803.103329145735,14203512
2022-09-01,53987.984375,54450.21026862157,53895.539196275684,54265.31991117295,14905777
2022-09-02,53155.98828125,54172.88544836956,53155.98828125,53895.549857336955,15040310
2022-09-05,52786.1953125,53433.311542250434,52508.8597854641,53063.5308395359,11425977
2022-09-06,52786.1953125,53248.42119089317,52601.304961142734,52878.64048817863,7503086
2022-09-07,51769.3046875,52416.42099609375,51676.859500558036,52416.42099609375,17384854
2022-09-08,51399.5234375,52139.08492580936,51399.5234375,51954.19455373201,18000016
2022-09-13,53710.65234375,54080.43308277754,52508.8649419105,52693.75531142427,17166581
2022-09-14,52508.85546875,52878.636141065144,51861.7392921985,51954.18446027729,12524961
2022-09-15,51769.3046875,52786.20174386161,51769.3046875,52693.756556919645,11664819
2022-09-16,51954.19921875,52139.089607428825,51307.08285837411,51399.52805271352,13456503
2022-09-19,52139.0859375,52693.75706449468,51769.30518617021,52046.64074966755,12278653
2022-09-20,51584.41015625,52693.752310147844,51584.41015625,52139.08123319892,14041465
2022-09-21,51122.19140625,51307.08179108273,50844.85582900091,51214.636598666366,11863700
2022-09-22,50290.1875,50567.52309283088,50197.742302389706,50475.07789522059,12786510
2022-09-23,50382.6171875,50752.39786410551,50105.281680045875,50290.172018348625,10555964
2022-09-26,49827.9609375,50105.29652713358,49550.625347866415,49643.07054441094,15008449
2022-09-27,50105.29296875,50105.29296875,49458.1766388953,49735.51220883303,16631289
2022-09-28,48903.5078125,50290.18572778828,48533.72703508979,49827.95975602552,19991129
2022-09-29,48960.28125,49984.16545865019,48960.28125,49611.84392823194,13882080
2022-09-30,49425.6875,49891.089453860644,48215.642419962336,48681.04437382298,22503249
2022-10-04,51380.36328125,51566.52401777627,50728.800703408066,51473.44364951314,19148435
2022-10-05,52125.015625,53241.98024553571,51566.53331473214,52962.73909040178,22458970
2022-10-06,52404.2578125,53335.0616812833,52404.2578125,52776.57936001332,14944446
2022-10-07,52311.18359375,52962.74637872553,51380.379615213526,52031.94240018906,16886813
2022-10-11,51566.5234375,51845.764539147116,50263.39829648015,50635.71976534296,21437877
2022-10-12,51938.85546875,53055.820102486556,51380.373151881715,51845.77508260529,18408910
2022-10-13,51380.36328125,52218.08659561821,51380.36328125,51566.52401777627,13784602
2022-10-14,52404.2578125,52590.41858625666,51938.85587810835,52311.17742562167,12924326
2022-10-17,52683.4921875,53055.813687058304,51845.768813493814,51938.84918838339,13641878
2022-10-18,52590.41796875,53148.90028346239,51938.85526825221,52776.5787403208,14820702
2022-10-19,51938.85546875,52962.73971634184,51845.77508260529,52776.57894405242,12660652
2022-10-20,51659.61328125,52125.0152027027,51287.29174408784,51380.37212837838,17107653
2022-10-21,52031.9296875,52404.25118794723,51287.28668660555,51287.28668660555,11456060
2022-10-24,53521.21875,53521.21875,52776.57570652174,53055.816847826085,16944503
2022-10-25,53707.3828125,54545.10628791161,53055.82010940208,53055.82010940208,17405678
2022-10-26,55289.7421875,55475.90293560606,53707.37582859848,53986.616950757576,20824967
