검색어,제목,본문
강아지,강아지 - 나무위키,"최근 변경
최근 토론
특수 기능
강아지
최근 수정 시각: 2026-04-18 10:11:48
64
편집
토론
역사
분류새끼개순우리말
  본 문서는 나이가 어린 개를 설명하고 있습니다. 개라는 동물 전반에 대한 내용은 개 문서를, 동음이의어에 대한 내용은 강아지(동음이의어) 문서를 참고하십시오.

  몽몽이는 여기로 연결됩니다. 내 친구 호비의 등장인물에 대한 내용은 호시바 켄토 문서를 참고하십시오.




1. 개요
2. 언어적 특성
2.1. 형태
2.2. 의미
2.2.1. '개'와의 혼용
2.2.2. 어린아이를 지칭
2.2.3. "
고양이,고양이 - 나무위키,"최근 변경
최근 토론
특수 기능
고양이
최근 수정 시각: 2026-04-16 19:48:37
358
편집 요청
토론
역사
분류고양이
가축


[ 펼치기 · 접기 ]
고양이(괴)
猫 | Cat


[설명]


학명
	
Felis catus
Linnaeus, 1758


분류


계
	
동물계Animalia


문
	
척삭동물문 Chordata


강
	
포유강 Mammalia


목
	
식육목 Carnivora


과
	
고양이과 Felidae


속
	
고양이속 Felis


종
	
고양이 F. catus


지역멸종위기등급[한국]"
토끼,토끼 - 나무위키,"최근 변경
최근 토론
특수 기능
토끼
최근 수정 시각: 2026-04-07 05:39:54
102
편집 요청
토론
역사
분류토끼과애완동물/포유강가축모델 생물십이지
  다른 뜻에 대한 내용은 토끼(동음이의어) 문서를 참고하십시오.

십이지 十二支


[ 펼치기 · 접기 ]
토끼(토깽이, 토깨이)
兔, 兎 | Rabbit, Bunny, Hare[1]




집토끼
(Domestic rabbit, Oryctolagus cuniculus domesticus)


학명
	
Leporidae
Fischer de Waldheim, 1817


"
