title,year,genre,plot,rating,awards
Inception,2010,"Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",8.8,Won 4 Oscars. 160 wins & 220 nominations total
Titanic,1997,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",8.0,Won 11 Oscars. 126 wins & 84 nominations total
